시도,시군구,이름,셀프,주소,번호,고급휘발유,보통휘발유,경유,실내등유
경기,가평군,㈜대광에너지 남이섬주유소,Y,경기 가평군 청평면 경춘로 1484,031-584-5127,,1615.0,1435,1215.0
경기,가평군,(주)설악주유소,N,경기 가평군 설악면 유명로 1711,031-584-4300,,1630.0,1490,1350.0
경기,가평군,(주)오일릭주유소,Y,경기 가평군 가평읍 경춘로 1741,031-581-2280,,1569.0,1379,
경기,가평군,(주)오일유업직영GS경춘주유소,N,경기 가평군 가평읍 경춘로 1776,031-581-4545,,1579.0,1399,1400.0
경기,가평군,GS강변셀프주유소,Y,경기 가평군 청평면 경춘로 1191,010-5885-7210,,1609.0,1419,
경기,가평군,SK에너지(주) 청평주유소,N,경기 가평군 청평면 구청평로 89,031-584-0055,1879.0,1619.0,1439,1350.0
경기,가평군,가평Self주유소,Y,경기 가평군 가평읍 경춘로 2065,031-581-8770,,1589.0,1389,
경기,가평군,가평군농협하나로주유소,Y,경기 가평군 가평읍 경춘로 1785,031-581-2871,,1599.0,1412,1300.0
경기,가평군,가평대박주유소,N,경기 가평군 청평면 경춘로 1175,031-584-5155,,1619.0,1429,1220.0
경기,가평군,가평설악주유소,Y,경기 가평군 설악면 신천중앙로 30,031-585-5140,,1697.0,1568,1350.0
경기,가평군,가평주유소,N,경기 가평군 가평읍 가화로 41-16,031-582-3114,,1700.0,1520,1300.0
경기,가평군,가평주유소(서울방향),N,경기 가평군 설악면 미사리로 544,031-584-5159,,1612.0,1440,
경기,가평군,가평주유소(춘천방향),N,경기 가평군 설악면 미사리로540번길 51,031-584-5149,,1612.0,1440,
경기,가평군,경기주유소,Y,경기 가평군 청평면 경춘로 1013,031-584-4803,,1568.0,1388,
경기,가평군,고동산주유소,N,경기 가평군 청평면 북한강로 1659,031-584-0578,,1690.0,1520,
경기,가평군,국토셀프주유소,Y,경기 가평군 조종면 비득재길 120,031-585-6786,,1679.0,1519,1300.0
경기,가평군,대성주유소,N,경기 가평군 하면 청군로 1184,031-585-0758,,1690.0,1530,1300.0
경기,가평군,덕현주유소,N,경기 가평군 상면 청군로 450,031-584-5188,,1695.0,1495,1400.0
경기,가평군,동현주유소,N,경기 가평군 하면 청군로 1303,031-585-5189,,1690.0,1530,1300.0
경기,가평군,명보주유소,Y,경기 가평군 가평읍 석봉로 237,031-582-6611,,1655.0,1495,1300.0
경기,가평군,명지산주유소,Y,경기 가평군 북면 가화로 687,031-581-5188,,1588.0,1399,
경기,가평군,벚꽃길주유소,N,경기 가평군 청평면 경춘로 1454,031-581-3700,1879.0,1689.0,1495,1350.0
경기,가평군,북면주유소,N,경기 가평군 북면 가화로 996,031-582-5189,,1660.0,1490,1300.0
경기,가평군,삼미상사(주)청평그린셀프주유소,Y,경기 가평군 청평면 경춘로 524,031-585-8388,,1627.0,1439,
경기,가평군,삼밭골주유소,Y,경기 가평군 설악면 유명로 2005,031-584-2476,,1630.0,1480,1350.0
경기,가평군,상면주유소,N,경기 가평군 상면 청군로 1070,031-585-2907,,1690.0,1530,1300.0
경기,가평군,송정주유소,N,경기 가평군 가평읍 가화로 359,031-581-0001,,1690.0,1540,1300.0
경기,가평군,쉼터주유소,Y,경기 가평군 상면 청군로 824,031-585-9003,,1690.0,1530,1200.0
경기,가평군,스카이주유소,Y,경기 가평군 설악면 유명로 1335,031-584-8339,,1648.0,1498,1350.0
경기,가평군,신청평주유소,Y,경기 가평군 청평면 경춘로 508,031-584-5400,1867.0,1628.0,1438,1300.0
경기,가평군,유명산주유소,N,경기 가평군 설악면 유명로 867,031-584-7776,,1648.0,1498,1350.0
경기,가평군,이화주유소,N,경기 가평군 가평읍 경춘로 2021,031-581-5149,,1589.0,1389,1220.0
경기,가평군,지에스칼텍스㈜ 설악IC주유소,Y,경기 가평군 설악면 유명로 1619,031-585-5129,1897.0,1698.0,1553,1350.0
경기,가평군,청평하나오일뱅크주유소,N,경기 가평군 청평면 경춘로 1232,031-585-1705,,1678.0,1528,1350.0
경기,가평군,청풍주유소,Y,경기 가평군 청평면 경춘로 257,031-584-9000,,1669.0,1479,
경기,가평군,태양주유소,Y,경기 가평군 설악면 한서로 25,031-585-3377,,1670.0,1500,1350.0
